county_state,fips,sex,sex_code,year,cause_of_death,cod_code,place_of_death,place_of_death_code,deaths,median_income,population,poverty_rate,unemployment_rate,facility_count,overdose_rate,facility_rate
"Jefferson County, AL",01073,Female,F,2024.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,Decedent's home,4.0,15.0,66388,667755,15.7,4.7,7.0,2.2463328616034324,1.0482886687482684
"Jefferson County, AL",01073,Female,F,2024.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,Other,7.0,12.0,66388,667755,15.7,4.7,7.0,1.7970662892827458,1.0482886687482684
"Jefferson County, AL",01073,Female,F,2024.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,Decedent's home,4.0,23.0,66388,667755,15.7,4.7,7.0,3.4443770544585965,1.0482886687482684
"Jefferson County, AL",01073,Female,F,2024.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,Other,7.0,12.0,66388,667755,15.7,4.7,7.0,1.7970662892827458,1.0482886687482684
"Jefferson County, AL",01073,Male,M,2024.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,Medical Facility - Outpatient or ER,2.0,10.0,66388,667755,15.7,4.7,7.0,1.4975552410689548,1.0482886687482684
"Jefferson County, AL",01073,Male,M,2024.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,Decedent's home,4.0,54.0,66388,667755,15.7,4.7,7.0,8.086798301772356,1.0482886687482684
"Jefferson County, AL",01073,Male,M,2024.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,Other,7.0,33.0,66388,667755,15.7,4.7,7.0,4.941932295527551,1.0482886687482684
"Jefferson County, AL",01073,Male,M,2024.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,Decedent's home,4.0,41.0,66388,667755,15.7,4.7,7.0,6.139976488382715,1.0482886687482684
"Jefferson County, AL",01073,Male,M,2024.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,Other,7.0,35.0,66388,667755,15.7,4.7,7.0,5.241443343741342,1.0482886687482684
"Madison County, AL",01089,Male,M,2024.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,Decedent's home,4.0,21.0,86499,405718,10.1,3.6,4.0,5.176008952030721,0.9859064670534706
"Madison County, AL",01089,Male,M,2024.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,Other,7.0,10.0,86499,405718,10.1,3.6,4.0,2.4647661676336763,0.9859064670534706
"Mobile County, AL",01097,Male,M,2024.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,Decedent's home,4.0,17.0,58880,412590,16.2,5.3,4.0,4.120313143798929,0.969485445599748
"Mobile County, AL",01097,Male,M,2024.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,Decedent's home,4.0,16.0,58880,412590,16.2,5.3,4.0,3.877941782398992,0.969485445599748
"Mobile County, AL",01097,Male,M,2024.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,Other,7.0,12.0,58880,412590,16.2,5.3,4.0,2.9084563367992438,0.969485445599748
