state,county,fips,median_income,population
 Alabama,Autauga County,01001,72481,59947
 Alabama,Baldwin County,01003,78775,246989
 Alabama,Barbour County,01005,46042,24643
 Alabama,Bibb County,01007,52541,22130
 Alabama,Blount County,01009,64190,59518
 Alabama,Bullock County,01011,31310,10058
 Alabama,Butler County,01013,44755,18630
 Alabama,Calhoun County,01015,55029,116090
 Alabama,Chambers County,01017,49656,34192
 Alabama,Cherokee County,01019,53863,25443
 Alabama,Chilton County,01021,65603,45992
 Alabama,Choctaw County,01023,47813,12380
 Alabama,Clarke County,01025,49249,22543
 Alabama,Clay County,01027,55250,14192
 Alabama,Cleburne County,01029,55345,15426
 Alabama,Coffee County,01031,68353,54920
 Alabama,Colbert County,01033,60628,58022
 Alabama,Conecuh County,01035,41327,11275
 Alabama,Coosa County,01037,57355,10300
 Alabama,Covington County,01039,52456,37628
 Alabama,Crenshaw County,01041,48560,13122
 Alabama,Cullman County,01043,62656,90566
 Alabama,Dale County,01045,54963,49599
 Alabama,Dallas County,01047,35627,36858
 Alabama,DeKalb County,01049,51204,72269
 Alabama,Elmore County,01051,78243,89526
 Alabama,Escambia County,01053,48225,36629
 Alabama,Etowah County,01055,54563,103105
 Alabama,Fayette County,01057,49488,16053
 Alabama,Franklin County,01059,53338,31966
 Alabama,Geneva County,01061,52771,26887
 Alabama,Greene County,01063,29200,7424
 Alabama,Hale County,01065,39250,14829
 Alabama,Henry County,01067,59931,17647
 Alabama,Houston County,01069,58626,108140
 Alabama,Jackson County,01071,51908,53053
 Alabama,Jefferson County,01073,66388,667755
 Alabama,Lamar County,01075,50000,13693
 Alabama,Lauderdale County,01077,62649,95830
 Alabama,Lawrence County,01079,66071,33276
 Alabama,Lee County,01081,65824,181134
 Alabama,Limestone County,01083,83629,111233
 Alabama,Lowndes County,01085,37052,9833
 Alabama,Macon County,01087,43707,18691
 Alabama,Madison County,01089,86499,405718
 Alabama,Marengo County,01091,43825,18851
 Alabama,Marion County,01093,50088,29184
 Alabama,Marshall County,01095,62571,99748
 Alabama,Mobile County,01097,58880,412590
 Alabama,Monroe County,01099,42292,19388
 Alabama,Montgomery County,01101,59386,226718
 Alabama,Morgan County,01103,68845,124471
 Alabama,Perry County,01105,37654,8031
 Alabama,Pickens County,01107,46274,18721
 Alabama,Pike County,01109,48677,32987
 Alabama,Randolph County,01111,52338,22510
 Alabama,Russell County,01113,51197,58811
 Alabama,St. Clair County,01115,77463,94166
 Alabama,Shelby County,01117,97961,230211
 Alabama,Sumter County,01119,33310,11878
 Alabama,Talladega County,01121,57776,81021
 Alabama,Tallapoosa County,01123,59356,40938
 Alabama,Tuscaloosa County,01125,66231,237552
 Alabama,Walker County,01127,56509,64841
 Alabama,Washington County,01129,61042,15143
 Alabama,Wilcox County,01131,40640,10172
 Alabama,Winston County,01133,57256,23682
 Alaska,Aleutians East Borough,02013,65365,3491
 Alaska,Aleutians West Census Area,02016,135500,5235
 Alaska,Anchorage Municipality,02020,103284,288976
 Alaska,Bethel Census Area,02050,73996,18394
 Alaska,Bristol Bay Borough,02060,95625,918
 Alaska,Chugach Census Area,02063,90509,6862
 Alaska,Copper River Census Area,02066,79250,2626
 Alaska,Denali Borough,02068,80781,1969
 Alaska,Dillingham Census Area,02070,78533,4724
 Alaska,Fairbanks North Star Borough,02090,88267,95460
 Alaska,Haines Borough,02100,86927,2086
 Alaska,Hoonah-Angoon Census Area,02105,61406,2311
 Alaska,Juneau City and Borough,02110,101661,31794
 Alaska,Kenai Peninsula Borough,02122,80538,60413
 Alaska,Ketchikan Gateway Borough,02130,92885,13768
 Alaska,Kodiak Island Borough,02150,86250,12771
 Alaska,Kusilvak Census Area,02158,51471,8176
 Alaska,Lake and Peninsula Borough,02164,65625,1013
 Alaska,Matanuska-Susitna Borough,02170,94031,112988
 Alaska,Nome Census Area,02180,78681,9866
 Alaska,North Slope Borough,02185,95694,10810
 Alaska,Northwest Arctic Borough,02188,84018,7441
 Alaska,Petersburg Borough,02195,75125,3409
 Alaska,Prince of Wales-Hyder Census Area,02198,61156,5715
 Alaska,Sitka City and Borough,02220,101727,8368
 Alaska,Skagway Municipality,02230,81136,1244
 Alaska,Southeast Fairbanks Census Area,02240,73882,7068
 Alaska,Wrangell City and Borough,02275,63750,2088
 Alaska,Yakutat City and Borough,02282,85000,527
 Alaska,Yukon-Koyukuk Census Area,02290,55741,5195
 Arizona,Apache County,04001,41438,65341
 Arizona,Cochise County,04003,59742,125566
 Arizona,Coconino County,04005,72966,144508
 Arizona,Gila County,04007,61986,53795
 Arizona,Graham County,04009,67325,39232
 Arizona,Greenlee County,04011,71164,9409
 Arizona,La Paz County,04012,49478,16664
 Arizona,Maricopa County,04013,89300,4559748
 Arizona,Mohave County,04015,57684,220517
 Arizona,Navajo County,04017,54606,108415
 Arizona,Pima County,04019,70315,1060490
 Arizona,Pinal County,04021,80266,469006
 Arizona,Santa Cruz County,04023,55217,48926
 Arizona,Yavapai County,04025,69613,245480
 Arizona,Yuma County,04027,62876,211741
 Arkansas,Arkansas County,05001,53164,16515
 Arkansas,Ashley County,05003,44266,18429
 Arkansas,Baxter County,05005,48452,42407
 Arkansas,Benton County,05007,93506,303632
 Arkansas,Boone County,05009,55143,38138
 Arkansas,Bradley County,05011,41476,10208
 Arkansas,Calhoun County,05013,66809,4704
 Arkansas,Carroll County,05015,54230,28626
 Arkansas,Chicot County,05017,39045,9765
 Arkansas,Clark County,05019,52034,21125
 Arkansas,Clay County,05021,51481,14280
 Arkansas,Cleburne County,05023,55798,25226
 Arkansas,Cleveland County,05025,54794,7453
 Arkansas,Columbia County,05027,55334,22349
 Arkansas,Conway County,05029,54187,21054
 Arkansas,Craighead County,05031,59548,113249
 Arkansas,Crawford County,05033,64132,61139
 Arkansas,Crittenden County,05035,55358,47266
 Arkansas,Cross County,05037,50863,16543
 Arkansas,Dallas County,05039,42500,6242
 Arkansas,Desha County,05041,37662,10786
 Arkansas,Drew County,05043,42824,17046
 Arkansas,Faulkner County,05045,67289,127717
 Arkansas,Franklin County,05047,55886,17326
 Arkansas,Fulton County,05049,42241,12302
 Arkansas,Garland County,05051,57181,100035
 Arkansas,Grant County,05053,71549,18242
 Arkansas,Greene County,05055,57839,46432
 Arkansas,Hempstead County,05057,46787,19508
 Arkansas,Hot Spring County,05059,55405,33180
 Arkansas,Howard County,05061,45603,12583
 Arkansas,Independence County,05063,56609,38175
 Arkansas,Izard County,05065,49405,14009
 Arkansas,Jackson County,05067,44218,16712
 Arkansas,Jefferson County,05069,51096,64802
 Arkansas,Johnson County,05071,45995,26003
 Arkansas,Lafayette County,05073,41278,6136
 Arkansas,Lawrence County,05075,44882,16238
 Arkansas,Lee County,05077,34375,8359
 Arkansas,Lincoln County,05079,51778,12950
 Arkansas,Little River County,05081,53344,11821
 Arkansas,Logan County,05083,58555,21277
 Arkansas,Lonoke County,05085,72828,75272
 Arkansas,Madison County,05087,56798,17329
 Arkansas,Marion County,05089,48619,17228
 Arkansas,Miller County,05091,48836,42360
 Arkansas,Mississippi County,05093,52548,39126
 Arkansas,Monroe County,05095,43214,6589
 Arkansas,Montgomery County,05097,48906,8553
 Arkansas,Nevada County,05099,53886,8159
 Arkansas,Newton County,05101,48986,7112
 Arkansas,Ouachita County,05103,49268,22085
 Arkansas,Perry County,05105,55764,10101
 Arkansas,Phillips County,05107,40134,15450
 Arkansas,Pike County,05109,49269,10115
 Arkansas,Poinsett County,05111,46707,22543
 Arkansas,Polk County,05113,49191,19361
 Arkansas,Pope County,05115,57344,64131
 Arkansas,Prairie County,05117,51646,8064
 Arkansas,Pulaski County,05119,62873,399818
 Arkansas,Randolph County,05121,50911,18838
 Arkansas,St. Francis County,05123,42574,22400
 Arkansas,Saline County,05125,79046,127479
 Arkansas,Scott County,05127,43270,9816
 Arkansas,Searcy County,05129,44426,7859
 Arkansas,Sebastian County,05131,57790,128900
 Arkansas,Sevier County,05133,53527,15712
 Arkansas,Sharp County,05135,44637,17773
 Arkansas,Stone County,05137,40943,12568
 Arkansas,Union County,05139,55259,37900
 Arkansas,Van Buren County,05141,50354,15998
 Arkansas,Washington County,05143,70639,256765
 Arkansas,White County,05145,55249,77838
 Arkansas,Woodruff County,05147,48158,6026
 Arkansas,Yell County,05149,55934,20134
 California,Alameda County,06001,129367,1649473
 California,Alpine County,06003,105521,1616
 California,Amador County,06005,88044,41428
 California,Butte County,06007,67928,207929
 California,Calaveras County,06009,78647,46248
 California,Colusa County,06011,75672,21984
 California,Contra Costa County,06013,127229,1165012
 California,Del Norte County,06015,67058,27107
 California,El Dorado County,06017,108845,192662
 California,Fresno County,06019,74201,1016725
 California,Glenn County,06021,67139,28494
 California,Humboldt County,06023,61160,134541
 California,Imperial County,06025,57681,180202
 California,Inyo County,06027,73991,18739
 California,Kern County,06029,70210,915075
 California,Kings County,06031,70995,153298
 California,Lake County,06033,60621,68152
 California,Lassen County,06035,67403,30356
 California,Los Angeles County,06037,90112,9808667
 California,Madera County,06039,76627,160940
 California,Marin County,06041,149091,257969
 California,Mariposa County,06043,68412,17082
 California,Mendocino County,06045,68092,90244
 California,Merced County,06047,65510,290201
 California,Modoc County,06049,59455,8600
 California,Mono County,06051,99415,13148
 California,Monterey County,06053,97230,437613
 California,Napa County,06055,111471,134869
 California,Nevada County,06057,89882,102481
 California,Orange County,06059,116289,3165820
 California,Placer County,06061,115998,419156
 California,Plumas County,06063,66031,19423
 California,Riverside County,06065,93074,2478600
 California,Sacramento County,06067,92175,1594006
 California,San Benito County,06069,114394,67290
 California,San Bernardino County,06071,85478,2197104
 California,San Diego County,06073,106268,3288774
 California,San Francisco County,06075,140970,830235
 California,San Joaquin County,06077,92179,797334
 California,San Luis Obispo County,06079,97446,281555
 California,San Mateo County,06081,158855,742340
 California,Santa Barbara County,06083,98161,443701
 California,Santa Clara County,06085,164281,1902047
