state,zip,facility_count
AK,99501,2
AK,99503,6
AK,99507,1
AK,99508,10
AK,99518,2
AK,99559,2
AK,99574,1
AK,99577,2
AK,99603,1
AK,99611,2
AK,99615,2
AK,99645,1
AK,99654,7
AK,99664,2
AK,99669,2
AK,99685,1
AK,99686,1
AK,99687,1
AK,99701,3
AK,99709,3
AK,99723,3
AK,99737,1
AK,99743,1
AK,99744,1
AK,99752,1
AK,99760,1
AK,99801,6
AK,99827,1
AK,99833,1
AK,99835,2
AK,99901,4
AK,99925,1
AK,99929,2
AL,35010,1
AL,35022,1
AL,35040,1
AL,35042,1
AL,35044,1
AL,35045,1
AL,35124,1
AL,35150,1
AL,35205,1
AL,35208,1
AL,35210,1
AL,35212,1
AL,35216,1
AL,35235,1
AL,35242,1
AL,35401,2
AL,35404,1
AL,35462,1
AL,35470,1
AL,35501,3
AL,35504,1
AL,35541,1
AL,35555,1
AL,35565,1
AL,35601,1
AL,35630,1
AL,35660,1
AL,35758,1
AL,35768,1
AL,35801,1
AL,35802,2
AL,35901,1
AL,35906,1
AL,35954,1
AL,35960,2
AL,35967,1
AL,35976,1
AL,36027,1
AL,36037,1
AL,36049,2
AL,36083,1
AL,36106,2
AL,36109,1
AL,36116,1
AL,36117,1
AL,36203,1
AL,36207,2
AL,36301,2
AL,36302,1
AL,36303,1
AL,36310,1
AL,36330,1
AL,36340,1
AL,36360,1
AL,36420,2
AL,36518,1
AL,36526,1
AL,36527,1
AL,36604,2
AL,36605,1
AL,36617,1
AL,36703,1
AL,36732,2
AL,36744,1
AL,36801,1
AL,36854,1
AL,36867,1
AL,36869,1
AL,36904,1
AR,71601,1
AR,71603,2
AR,71635,2
AR,71639,1
AR,71653,1
AR,71654,1
AR,71655,3
AR,71657,1
AR,71667,1
AR,71671,3
AR,71701,1
AR,71730,2
AR,71753,1
AR,71801,1
AR,71832,1
AR,71854,2
AR,71901,1
AR,71909,1
AR,71913,3
AR,71953,1
AR,72006,1
AR,72015,1
AR,72019,1
AR,72021,1
AR,72023,1
AR,72031,1
AR,72034,4
AR,72086,1
AR,72104,3
AR,72110,1
AR,72112,2
AR,72113,1
AR,72114,2
AR,72116,1
AR,72117,2
AR,72118,1
AR,72126,1
AR,72143,3
AR,72150,1
AR,72160,1
AR,72201,2
AR,72204,3
AR,72205,3
AR,72209,3
AR,72210,1
AR,72211,1
AR,72223,1
AR,72225,1
AR,72301,2
AR,72315,1
AR,72335,1
AR,72342,1
AR,72360,1
AR,72396,1
AR,72401,4
AR,72404,1
AR,72422,1
AR,72433,1
AR,72450,3
