county,fips,deaths,Population
"Autauga County, AL",1001.0,50.0,408275
"Baldwin County, AL",1003.0,427.0,1671387
"Barbour County, AL",1005.0,33.0,172769
"Bibb County, AL",1007.0,49.0,155538
"Blount County, AL",1009.0,106.0,412077
"Bullock County, AL",1011.0,26.0,70535
"Butler County, AL",1013.0,23.0,132804
"Calhoun County, AL",1015.0,262.0,805967
"Chambers County, AL",1017.0,40.0,236255
"Cherokee County, AL",1019.0,51.0,180624
"Chilton County, AL",1021.0,79.0,317829
"Clarke County, AL",1025.0,27.0,160587
"Clay County, AL",1027.0,16.0,96360
"Coffee County, AL",1031.0,48.0,378461
"Colbert County, AL",1033.0,99.0,398067
"Conecuh County, AL",1035.0,25.0,81012
"Coosa County, AL",1037.0,10.0,73203
"Covington County, AL",1039.0,54.0,261791
"Cullman County, AL",1043.0,184.0,616506
"Dale County, AL",1045.0,54.0,345911
"Dallas County, AL",1047.0,48.0,257700
"DeKalb County, AL",1049.0,147.0,504058
"Elmore County, AL",1051.0,86.0,605604
"Escambia County, AL",1053.0,129.0,256215
"Etowah County, AL",1055.0,257.0,719838
"Fayette County, AL",1057.0,38.0,113072
"Franklin County, AL",1059.0,55.0,221853
"Geneva County, AL",1061.0,39.0,186727
"Henry County, AL",1067.0,13.0,122791
"Houston County, AL",1069.0,122.0,750549
"Jackson County, AL",1071.0,54.0,367855
"Jefferson County, AL",1073.0,2485.0,4634083
"Lamar County, AL",1075.0,13.0,96011
"Lauderdale County, AL",1077.0,133.0,662721
"Lawrence County, AL",1079.0,30.0,232111
"Lee County, AL",1081.0,152.0,1224367
"Limestone County, AL",1083.0,71.0,749330
"Macon County, AL",1087.0,14.0,128342
"Madison County, AL",1089.0,702.0,2753612
"Marengo County, AL",1091.0,15.0,131599
"Marion County, AL",1093.0,20.0,206144
"Marshall County, AL",1095.0,183.0,690436
"Mobile County, AL",1097.0,723.0,2888146
"Monroe County, AL",1099.0,31.0,139597
"Montgomery County, AL",1101.0,227.0,1581557
"Morgan County, AL",1103.0,215.0,857747
"Pickens County, AL",1107.0,26.0,134355
"Pike County, AL",1109.0,23.0,231684
"Randolph County, AL",1111.0,26.0,158688
"Russell County, AL",1113.0,127.0,408837
"St. Clair County, AL",1115.0,249.0,648100
"Shelby County, AL",1117.0,355.0,1580823
