state,county,poverty_rate,unemployment_rate,fips,median_income,population
 Alabama,Autauga County,11.3,2.4,01001,72481,59947
 Alabama,Baldwin County,10.1,3.0,01003,78775,246989
 Alabama,Barbour County,21.4,7.8,01005,46042,24643
 Alabama,Bibb County,22.5,12.1,01007,52541,22130
 Alabama,Blount County,12.9,5.0,01009,64190,59518
 Alabama,Bullock County,33.3,7.2,01011,31310,10058
 Alabama,Butler County,22.4,6.5,01013,44755,18630
 Alabama,Calhoun County,17.9,6.0,01015,55029,116090
 Alabama,Chambers County,15.7,5.1,01017,49656,34192
 Alabama,Cherokee County,14.8,3.9,01019,53863,25443
 Alabama,Chilton County,14.0,5.5,01021,65603,45992
 Alabama,Choctaw County,16.5,5.0,01023,47813,12380
 Alabama,Clarke County,20.1,9.2,01025,49249,22543
 Alabama,Clay County,17.6,2.4,01027,55250,14192
 Alabama,Cleburne County,13.7,2.6,01029,55345,15426
 Alabama,Coffee County,16.7,5.1,01031,68353,54920
 Alabama,Colbert County,17.4,3.1,01033,60628,58022
 Alabama,Conecuh County,27.8,8.7,01035,41327,11275
 Alabama,Coosa County,13.1,6.2,01037,57355,10300
 Alabama,Covington County,19.2,5.2,01039,52456,37628
 Alabama,Crenshaw County,17.9,5.4,01041,48560,13122
 Alabama,Cullman County,15.3,3.8,01043,62656,90566
 Alabama,Dale County,18.7,6.6,01045,54963,49599
 Alabama,Dallas County,31.0,11.0,01047,35627,36858
 Alabama,DeKalb County,22.4,4.1,01049,51204,72269
 Alabama,Elmore County,10.3,4.6,01051,78243,89526
 Alabama,Escambia County,20.0,10.1,01053,48225,36629
 Alabama,Etowah County,16.9,5.9,01055,54563,103105
 Alabama,Fayette County,21.8,8.4,01057,49488,16053
 Alabama,Franklin County,19.1,3.6,01059,53338,31966
 Alabama,Geneva County,19.2,5.6,01061,52771,26887
 Alabama,Greene County,40.1,4.0,01063,29200,7424
 Alabama,Hale County,24.6,6.0,01065,39250,14829
 Alabama,Henry County,18.3,3.6,01067,59931,17647
 Alabama,Houston County,17.5,4.5,01069,58626,108140
 Alabama,Jackson County,17.3,4.5,01071,51908,53053
 Alabama,Jefferson County,15.7,4.7,01073,66388,667755
 Alabama,Lamar County,18.0,5.5,01075,50000,13693
 Alabama,Lauderdale County,12.2,4.1,01077,62649,95830
 Alabama,Lawrence County,13.3,2.0,01079,66071,33276
 Alabama,Lee County,18.9,3.5,01081,65824,181134
 Alabama,Limestone County,10.0,3.3,01083,83629,111233
 Alabama,Lowndes County,29.9,6.8,01085,37052,9833
 Alabama,Macon County,24.3,8.3,01087,43707,18691
 Alabama,Madison County,10.1,3.6,01089,86499,405718
 Alabama,Marengo County,21.9,4.1,01091,43825,18851
 Alabama,Marion County,16.2,5.0,01093,50088,29184
 Alabama,Marshall County,16.6,3.9,01095,62571,99748
 Alabama,Mobile County,16.2,5.3,01097,58880,412590
 Alabama,Monroe County,20.1,10.4,01099,42292,19388
 Alabama,Montgomery County,19.9,5.9,01101,59386,226718
 Alabama,Morgan County,13.5,3.7,01103,68845,124471
 Alabama,Perry County,31.4,16.5,01105,37654,8031
 Alabama,Pickens County,20.0,4.7,01107,46274,18721
 Alabama,Pike County,23.3,3.7,01109,48677,32987
 Alabama,Randolph County,19.9,3.8,01111,52338,22510
 Alabama,Russell County,22.2,6.2,01113,51197,58811
 Alabama,St. Clair County,11.4,4.6,01115,77463,94166
 Alabama,Shelby County,7.2,2.9,01117,97961,230211
 Alabama,Sumter County,26.5,12.1,01119,33310,11878
 Alabama,Talladega County,17.8,6.8,01121,57776,81021
 Alabama,Tallapoosa County,16.3,4.9,01123,59356,40938
 Alabama,Tuscaloosa County,16.8,5.8,01125,66231,237552
 Alabama,Walker County,18.5,4.9,01127,56509,64841
 Alabama,Washington County,17.1,4.9,01129,61042,15143
 Alabama,Wilcox County,28.2,11.8,01131,40640,10172
 Alabama,Winston County,18.7,3.6,01133,57256,23682
 Alaska,Aleutians East Borough,13.2,8.4,02013,65365,3491
 Alaska,Aleutians West Census Area,11.3,4.3,02016,135500,5235
 Alaska,Anchorage Municipality,8.9,4.6,02020,103284,288976
 Alaska,Bethel Census Area,25.6,15.9,02050,73996,18394
 Alaska,Bristol Bay Borough,9.3,4.4,02060,95625,918
 Alaska,Chugach Census Area,5.9,9.5,02063,90509,6862
 Alaska,Copper River Census Area,8.7,4.8,02066,79250,2626
 Alaska,Denali Borough,8.3,0.9,02068,80781,1969
 Alaska,Dillingham Census Area,19.5,10.5,02070,78533,4724
 Alaska,Fairbanks North Star Borough,6.1,5.3,02090,88267,95460
 Alaska,Haines Borough,5.4,4.7,02100,86927,2086
 Alaska,Hoonah-Angoon Census Area,14.2,15.8,02105,61406,2311
 Alaska,Juneau City and Borough,8.9,4.0,02110,101661,31794
 Alaska,Kenai Peninsula Borough,11.8,7.0,02122,80538,60413
 Alaska,Ketchikan Gateway Borough,8.7,3.1,02130,92885,13768
 Alaska,Kodiak Island Borough,8.7,5.0,02150,86250,12771
 Alaska,Kusilvak Census Area,32.4,19.8,02158,51471,8176
 Alaska,Lake and Peninsula Borough,12.8,8.6,02164,65625,1013
 Alaska,Matanuska-Susitna Borough,10.0,5.8,02170,94031,112988
 Alaska,Nome Census Area,21.5,16.9,02180,78681,9866
 Alaska,North Slope Borough,11.1,7.6,02185,95694,10810
 Alaska,Northwest Arctic Borough,17.9,16.7,02188,84018,7441
 Alaska,Petersburg Borough,7.0,3.8,02195,75125,3409
 Alaska,Prince of Wales-Hyder Census Area,12.7,7.7,02198,61156,5715
 Alaska,Sitka City and Borough,7.5,6.8,02220,101727,8368
 Alaska,Skagway Municipality,5.9,9.1,02230,81136,1244
 Alaska,Southeast Fairbanks Census Area,12.7,6.5,02240,73882,7068
 Alaska,Wrangell City and Borough,12.1,4.3,02275,63750,2088
 Alaska,Yakutat City and Borough,11.9,0.9,02282,85000,527
 Alaska,Yukon-Koyukuk Census Area,16.0,5.4,02290,55741,5195
 Arizona,Apache County,30.5,10.7,04001,41438,65341
 Arizona,Cochise County,15.4,7.4,04003,59742,125566
 Arizona,Coconino County,16.8,5.6,04005,72966,144508
 Arizona,Gila County,16.9,7.1,04007,61986,53795
 Arizona,Graham County,17.3,7.7,04009,67325,39232
 Arizona,Greenlee County,8.2,2.3,04011,71164,9409
 Arizona,La Paz County,17.5,10.0,04012,49478,16664
 Arizona,Maricopa County,11.0,4.5,04013,89300,4559748
 Arizona,Mohave County,16.1,7.3,04015,57684,220517
 Arizona,Navajo County,24.7,8.8,04017,54606,108415
 Arizona,Pima County,14.3,5.5,04019,70315,1060490
 Arizona,Pinal County,11.1,6.0,04021,80266,469006
 Arizona,Santa Cruz County,20.2,12.2,04023,55217,48926
 Arizona,Yavapai County,12.0,4.3,04025,69613,245480
 Arizona,Yuma County,15.6,6.9,04027,62876,211741
 Arkansas,Arkansas County,19.0,8.1,05001,53164,16515
 Arkansas,Ashley County,22.1,5.5,05003,44266,18429
 Arkansas,Baxter County,15.5,6.3,05005,48452,42407
 Arkansas,Benton County,7.6,3.1,05007,93506,303632
 Arkansas,Boone County,11.7,2.5,05009,55143,38138
 Arkansas,Bradley County,19.9,6.6,05011,41476,10208
 Arkansas,Calhoun County,10.2,5.6,05013,66809,4704
 Arkansas,Carroll County,17.2,4.7,05015,54230,28626
 Arkansas,Chicot County,22.6,9.1,05017,39045,9765
 Arkansas,Clark County,21.6,3.8,05019,52034,21125
 Arkansas,Clay County,17.2,6.3,05021,51481,14280
 Arkansas,Cleburne County,13.9,6.4,05023,55798,25226
 Arkansas,Cleveland County,15.8,2.2,05025,54794,7453
 Arkansas,Columbia County,21.1,3.2,05027,55334,22349
 Arkansas,Conway County,19.7,6.4,05029,54187,21054
 Arkansas,Craighead County,20.1,5.6,05031,59548,113249
 Arkansas,Crawford County,14.7,4.1,05033,64132,61139
 Arkansas,Crittenden County,21.0,10.2,05035,55358,47266
 Arkansas,Cross County,19.7,10.7,05037,50863,16543
 Arkansas,Dallas County,13.9,8.2,05039,42500,6242
 Arkansas,Desha County,28.3,8.0,05041,37662,10786
 Arkansas,Drew County,22.4,5.9,05043,42824,17046
 Arkansas,Faulkner County,14.5,3.4,05045,67289,127717
 Arkansas,Franklin County,18.0,4.9,05047,55886,17326
 Arkansas,Fulton County,18.0,4.6,05049,42241,12302
 Arkansas,Garland County,15.8,5.7,05051,57181,100035
 Arkansas,Grant County,13.1,4.5,05053,71549,18242
 Arkansas,Greene County,17.4,5.9,05055,57839,46432
 Arkansas,Hempstead County,20.2,5.6,05057,46787,19508
 Arkansas,Hot Spring County,15.1,3.7,05059,55405,33180
 Arkansas,Howard County,22.5,5.4,05061,45603,12583
 Arkansas,Independence County,20.4,3.9,05063,56609,38175
 Arkansas,Izard County,22.3,7.2,05065,49405,14009
 Arkansas,Jackson County,21.7,9.8,05067,44218,16712
 Arkansas,Jefferson County,18.6,8.1,05069,51096,64802
 Arkansas,Johnson County,19.8,4.6,05071,45995,26003
 Arkansas,Lafayette County,22.3,5.3,05073,41278,6136
 Arkansas,Lawrence County,20.1,5.8,05075,44882,16238
 Arkansas,Lee County,39.4,19.1,05077,34375,8359
 Arkansas,Lincoln County,15.4,2.7,05079,51778,12950
 Arkansas,Little River County,15.5,7.3,05081,53344,11821
 Arkansas,Logan County,13.9,5.6,05083,58555,21277
 Arkansas,Lonoke County,10.4,4.4,05085,72828,75272
 Arkansas,Madison County,14.1,5.3,05087,56798,17329
 Arkansas,Marion County,18.0,4.9,05089,48619,17228
 Arkansas,Miller County,24.6,7.1,05091,48836,42360
 Arkansas,Mississippi County,21.1,6.9,05093,52548,39126
 Arkansas,Monroe County,20.6,9.8,05095,43214,6589
 Arkansas,Montgomery County,22.4,5.8,05097,48906,8553
 Arkansas,Nevada County,20.3,4.6,05099,53886,8159
 Arkansas,Newton County,15.9,4.1,05101,48986,7112
 Arkansas,Ouachita County,18.9,5.2,05103,49268,22085
 Arkansas,Perry County,14.2,4.1,05105,55764,10101
 Arkansas,Phillips County,29.3,14.5,05107,40134,15450
 Arkansas,Pike County,20.7,3.9,05109,49269,10115
 Arkansas,Poinsett County,20.1,6.4,05111,46707,22543
 Arkansas,Polk County,15.9,7.3,05113,49191,19361
 Arkansas,Pope County,16.9,5.1,05115,57344,64131
 Arkansas,Prairie County,11.8,3.0,05117,51646,8064
 Arkansas,Pulaski County,16.7,4.7,05119,62873,399818
 Arkansas,Randolph County,22.4,5.3,05121,50911,18838
 Arkansas,St. Francis County,28.5,9.2,05123,42574,22400
 Arkansas,Saline County,8.8,3.9,05125,79046,127479
 Arkansas,Scott County,18.7,6.2,05127,43270,9816
 Arkansas,Searcy County,23.0,3.7,05129,44426,7859
 Arkansas,Sebastian County,16.0,5.5,05131,57790,128900
 Arkansas,Sevier County,17.3,4.9,05133,53527,15712
 Arkansas,Sharp County,16.5,8.1,05135,44637,17773
 Arkansas,Stone County,19.3,3.2,05137,40943,12568
 Arkansas,Union County,19.5,5.5,05139,55259,37900
 Arkansas,Van Buren County,19.1,3.8,05141,50354,15998
 Arkansas,Washington County,14.6,3.4,05143,70639,256765
 Arkansas,White County,17.5,5.8,05145,55249,77838
 Arkansas,Woodruff County,24.1,5.0,05147,48158,6026
 Arkansas,Yell County,15.6,3.4,05149,55934,20134
 California,Alameda County,9.2,5.4,06001,129367,1649473
 California,Alpine County,10.0,4.4,06003,105521,1616
 California,Amador County,8.2,5.4,06005,88044,41428
 California,Butte County,19.2,7.5,06007,67928,207929
 California,Calaveras County,13.0,4.5,06009,78647,46248
 California,Colusa County,11.4,9.8,06011,75672,21984
 California,Contra Costa County,8.4,6.5,06013,127229,1165012
 California,Del Norte County,12.9,6.4,06015,67058,27107
 California,El Dorado County,8.0,4.5,06017,108845,192662
 California,Fresno County,18.3,8.7,06019,74201,1016725
 California,Glenn County,16.0,8.0,06021,67139,28494
 California,Humboldt County,18.7,9.0,06023,61160,134541
 California,Imperial County,19.5,12.5,06025,57681,180202
 California,Inyo County,10.9,2.5,06027,73991,18739
 California,Kern County,19.1,8.6,06029,70210,915075
 California,Kings County,16.0,10.8,06031,70995,153298
 California,Lake County,17.0,11.1,06033,60621,68152
 California,Lassen County,14.0,8.3,06035,67403,30356
 California,Los Angeles County,13.7,7.3,06037,90112,9808667
 California,Madera County,19.2,10.1,06039,76627,160940
 California,Marin County,8.3,6.1,06041,149091,257969
 California,Mariposa County,14.0,6.0,06043,68412,17082
 California,Mendocino County,15.4,9.0,06045,68092,90244
 California,Merced County,19.1,10.6,06047,65510,290201
 California,Modoc County,17.9,7.6,06049,59455,8600
 California,Mono County,8.6,3.1,06051,99415,13148
 California,Monterey County,12.7,5.2,06053,97230,437613
 California,Napa County,8.5,5.2,06055,111471,134869
 California,Nevada County,11.0,5.4,06057,89882,102481
 California,Orange County,9.5,5.4,06059,116289,3165820
 California,Placer County,6.8,4.8,06061,115998,419156
 California,Plumas County,10.6,9.2,06063,66031,19423
 California,Riverside County,10.6,6.5,06065,93074,2478600
 California,Sacramento County,12.5,6.7,06067,92175,1594006
 California,San Benito County,6.7,5.4,06069,114394,67290
 California,San Bernardino County,13.3,7.1,06071,85478,2197104
 California,San Diego County,10.3,6.1,06073,106268,3288774
 California,San Francisco County,11.2,6.1,06075,140970,830235
 California,San Joaquin County,12.4,7.6,06077,92179,797334
 California,San Luis Obispo County,12.9,5.5,06079,97446,281555
 California,San Mateo County,6.7,4.8,06081,158855,742340
 California,Santa Barbara County,14.7,6.4,06083,98161,443701
 California,Santa Clara County,7.1,4.9,06085,164281,1902047
 California,Santa Cruz County,11.6,6.1,06087,111093,264926
 California,Shasta County,13.3,6.3,06089,72636,181436
 California,Sierra County,4.4,12.6,06091,63355,2746
 California,Siskiyou County,16.4,7.9,06093,59095,43466
 California,Solano County,10.0,6.5,06095,100401,451918
 California,Sonoma County,8.9,5.7,06097,104674,485040
 California,Stanislaus County,13.5,8.0,06099,81468,553990
 California,Sutter County,14.4,7.2,06101,79704,98857
 California,Tehama County,15.6,5.9,06103,63784,65167
 California,Trinity County,20.7,8.4,06105,53002,15860
 California,Tulare County,17.9,9.3,06107,71300,478693
 California,Tuolumne County,10.4,8.2,06109,77404,54498
 California,Ventura County,9.3,5.7,06111,109797,837469
 California,Yolo County,16.7,6.1,06113,91752,220564
 California,Yuba County,14.2,6.8,06115,76373,84507
 Colorado,Adams County,9.8,4.6,08001,94571,530225
 Colorado,Alamosa County,17.2,3.7,08003,55397,16581
 Colorado,Arapahoe County,8.6,5.0,08005,101087,659844
 Colorado,Archuleta County,8.2,1.3,08007,83065,13900
 Colorado,Baca County,24.6,0.6,08009,46215,3428
 Colorado,Bent County,28.4,5.8,08011,50179,5549
 Colorado,Boulder County,11.2,4.8,08013,103994,328961
 Colorado,Broomfield County,6.2,3.8,08014,123874,76304
 Colorado,Chaffee County,8.3,4.8,08015,84132,20178
 Colorado,Cheyenne County,8.2,0.4,08017,70865,1741
 Colorado,Clear Creek County,6.4,4.8,08019,94577,9262
 Colorado,Conejos County,11.7,4.8,08021,50978,7530
 Colorado,Costilla County,21.0,3.5,08023,36861,3607
 Colorado,Crowley County,19.4,3.9,08025,48826,5647
 Colorado,Custer County,12.7,3.7,08027,72674,5247
 Colorado,Delta County,14.0,3.2,08029,57774,31598
 Colorado,Denver County,11.2,4.9,08031,94718,718877
 Colorado,Dolores County,21.6,2.5,08033,64907,2432
 Colorado,Douglas County,3.8,3.6,08035,149594,377150
 Colorado,Eagle County,8.7,4.7,08037,104096,55135
 Colorado,Elbert County,5.3,3.4,08039,132685,27874
 Colorado,El Paso County,8.5,5.4,08041,90363,742999
 Colorado,Fremont County,13.3,4.3,08043,62664,49634
