county_state,fips,deaths,Population,median_income,population,poverty_rate,unemployment_rate,facility_count,overdose_rate,facility_rate,rucc,is_rural
"Abbeville County, SC",45001,45.0,171168,52935.0,24420.0,15.7,4.0,,184.27518427518427,,6.0,1
"Acadia Parish, LA",22001,151.0,413278,45562.0,56955.0,25.0,7.7,1.0,265.12158721797914,1.7557721007813185,2.0,0
"Accomack County, VA",51001,55.0,230053,58993.0,33335.0,13.9,3.4,2.0,164.99175041247938,5.9997000149992505,9.0,1
"Ada County, ID",16001,676.0,3537262,91502.0,518935.0,8.3,3.1,36.0,130.26679641959012,6.937285016427876,2.0,0
"Adair County, KY",21001,35.0,134474,53553.0,19089.0,18.4,6.8,2.0,183.35166850018337,10.477238200010477,7.0,1
"Adair County, MO",29001,14.0,177213,61536.0,25301.0,22.0,4.1,2.0,55.333781273467444,7.904825896209636,7.0,1
"Adair County, OK",40001,44.0,144669,48041.0,19575.0,21.5,6.9,1.0,224.7765006385696,5.108556832694764,8.0,1
"Adams County, CO",08001,1107.0,3675225,94571.0,530225.0,9.8,4.6,13.0,208.77929181008062,2.451789334716394,1.0,0
"Adams County, IL",17001,78.0,454138,66220.0,64754.0,12.8,3.9,4.0,120.45587917348735,6.177224572999352,5.0,1
"Adams County, IN",18001,37.0,252153,65289.0,36227.0,11.2,2.8,2.0,102.13376763187676,5.520744196317664,6.0,1
"Adams County, MS",28001,37.0,206730,43644.0,28803.0,27.0,6.4,,128.45884109294173,,7.0,1
"Adams County, NE",31001,24.0,218287,68365.0,31052.0,12.7,2.4,2.0,77.28970758727296,6.44080896560608,4.0,1
"Adams County, OH",39001,118.0,193107,50264.0,27540.0,20.2,6.4,,428.46768336964413,,8.0,1
"Adams County, PA",42001,116.0,733378,84092.0,106115.0,8.2,3.4,,109.31536540545635,,3.0,0
"Adams County, WA",53001,17.0,143210,66136.0,20800.0,19.5,3.6,1.0,81.73076923076923,4.8076923076923075,6.0,1
"Adams County, WI",55001,43.0,145968,59442.0,21123.0,14.1,4.5,,203.56956871656487,,8.0,1
"Addison County, VT",50001,39.0,261206,89639.0,37664.0,7.6,3.8,,103.54715378079864,,6.0,1
"Aiken County, SC",45003,498.0,1214469,70609.0,174160.0,14.3,6.1,3.0,285.9439595774001,1.722553973357832,2.0,0
"Aitkin County, MN",27001,30.0,112086,60833.0,16056.0,13.1,5.8,,186.84603886397608,,8.0,1
"Alachua County, FL",12001,337.0,1951261,61949.0,285492.0,21.2,4.4,7.0,118.04183654883501,2.45190758410043,2.0,0
"Alamance County, NC",37001,338.0,1219726,65651.0,176893.0,13.4,5.1,2.0,191.07596117426917,1.1306269891968592,3.0,0
"Alameda County, CA",06001,2301.0,11549206,129367.0,1649473.0,9.2,5.4,10.0,139.49910062183497,0.6062542399905909,1.0,0
"Alamosa County, CO",08003,52.0,115579,55397.0,16581.0,17.2,3.7,2.0,313.6119655026838,12.061998673180145,7.0,1
"Albany County, NY",36001,618.0,2182454,85333.0,317018.0,13.0,5.0,11.0,194.9416121482061,3.469834520437325,2.0,0
"Albany County, WY",56001,31.0,269615,61917.0,38249.0,20.9,3.7,2.0,81.04787053256294,5.228894873068577,4.0,1
"Albemarle County, VA",51003,103.0,789758,104392.0,114919.0,7.7,3.4,3.0,89.62834692261505,2.6105343763868465,3.0,0
"Alcona County, MI",26001,10.0,73037,54993.0,10397.0,12.3,4.5,1.0,96.18159084351255,9.618159084351255,9.0,1
"Alcorn County, MS",28003,42.0,247683,51260.0,34289.0,15.8,4.6,4.0,122.48826154160227,11.665548718247834,7.0,1
"Alexander County, NC",37003,56.0,258613,65354.0,36412.0,12.6,5.0,1.0,153.79545204877513,2.7463473580138418,2.0,0
"Alexandria city, VA",51510,139.0,1103247,119681.0,156976.0,7.9,3.3,1.0,88.54856793395169,0.6370400570787891,1.0,0
"Allegan County, MI",26005,104.0,840863,83283.0,121456.0,8.4,3.0,3.0,85.62771703332893,2.470030299038335,4.0,1
"Allegany County, MD",24001,257.0,480814,59603.0,67452.0,16.9,5.0,5.0,381.01168238154537,7.412678645555358,4.0,1
"Allegany County, NY",36003,58.0,324858,62869.0,47159.0,16.2,7.1,2.0,122.98818889289426,4.2409720307894565,7.0,1
"Alleghany County, NC",37005,16.0,78447,47172.0,11174.0,16.0,3.7,1.0,143.1895471630571,8.94934669769107,9.0,1
"Alleghany County, VA",51005,26.0,103519,56188.0,14859.0,11.6,2.3,2.0,174.97812773403325,13.459855979541018,6.0,1
"Allegheny County, PA",42003,3975.0,8573837,78548.0,1238177.0,11.5,5.0,16.0,321.0364915516925,1.292222355931341,1.0,0
"Allen County, IN",18003,779.0,2710734,70737.0,392378.0,12.5,4.7,13.0,198.53304721467566,3.313131725020261,2.0,0
"Allen County, KS",20001,13.0,87092,60689.0,12483.0,9.9,7.9,1.0,104.1416326203637,8.010894816951053,7.0,1
"Allen County, KY",21003,42.0,149637,61403.0,21293.0,13.5,6.9,2.0,197.24792185225192,9.392758183440566,3.0,0
"Allen County, OH",39003,215.0,711483,64038.0,101348.0,13.3,5.7,7.0,212.14034810751076,6.90689505466314,3.0,0
"Allen Parish, LA",22003,62.0,166292,46469.0,22477.0,23.1,9.8,1.0,275.8375228010855,4.448992303243315,6.0,1
"Allendale County, SC",45005,12.0,56279,32328.0,7661.0,28.2,8.5,,156.63751468476698,,8.0,1
"Alpena County, MI",26007,23.0,200550,53950.0,28880.0,18.0,6.2,2.0,79.63988919667591,6.9252077562326875,7.0,1
"Alpine County, CA",06003,11.0,8014,105521.0,1616.0,10.0,4.4,1.0,680.6930693069307,61.881188118811885,8.0,1
"Amador County, CA",06005,60.0,285726,88044.0,41428.0,8.2,5.4,1.0,144.82958385632904,2.4138263976054843,6.0,1
"Amelia County, VA",51007,31.0,93091,76717.0,13462.0,9.7,3.8,1.0,230.27781904620412,7.42831674342594,1.0,0
"Amherst County, VA",51009,52.0,220846,68724.0,31485.0,10.8,4.7,,165.15801175162775,,2.0,0
"Amite County, MS",28005,11.0,86977,37222.0,12565.0,27.6,5.8,1.0,87.54476721050537,7.958615200955034,8.0,1
"Anchorage Borough, AK",02020,893.0,2017574,,,,,,,,2.0,0
"Anderson County, KY",21005,63.0,165998,74488.0,24353.0,11.5,2.2,2.0,258.69502730669734,8.212540549418962,6.0,1
"Anderson County, SC",45007,517.0,1454141,66651.0,210478.0,14.6,5.3,,245.63137239996578,,2.0,0
"Anderson County, TN",47001,423.0,549190,66183.0,79153.0,13.4,3.7,2.0,534.4080451783256,2.52675198665875,2.0,0
"Anderson County, TX",48001,80.0,407311,62068.0,58439.0,17.4,6.0,1.0,136.89488184260512,1.7111860230325637,7.0,1
"Andrew County, MO",29003,19.0,125128,75625.0,18065.0,6.2,3.6,,105.17575422086908,,3.0,0
"Andrews County, TX",48003,15.0,130073,72242.0,18610.0,15.6,3.3,,80.60182697474477,,6.0,1
"Androscoggin County, ME",23001,359.0,777597,67873.0,113423.0,14.4,4.3,,316.51428722569494,,3.0,0
"Angelina County, TX",48005,116.0,609623,60960.0,87275.0,15.8,6.4,1.0,132.91320538527643,1.1458034947006588,5.0,1
"Anne Arundel County, MD",24003,1631.0,4118596,124911.0,598166.0,5.6,3.7,27.0,272.66678480555566,4.513797173359904,1.0,0
"Anoka County, MN",27003,476.0,2555818,101869.0,370349.0,7.0,4.3,7.0,128.52741603190503,1.890109059292721,1.0,0
"Anson County, NC",37007,45.0,162011,47302.0,22289.0,21.7,5.5,2.0,201.89331060164207,8.973036026739647,1.0,0
"Antrim County, MI",26009,30.0,167145,72054.0,24127.0,9.9,3.9,1.0,124.34202345919509,4.144734115306503,8.0,1
"Apache County, AZ",04001,167.0,476471,41438.0,65341.0,30.5,10.7,5.0,255.58225310295222,7.652163266555456,8.0,1
"Appanoose County, IA",19007,17.0,85869,54934.0,12184.0,17.5,3.9,2.0,139.52724885095208,16.414970453053183,7.0,1
"Appling County, GA",13001,25.0,129260,46651.0,18493.0,22.5,3.1,2.0,135.18628670307686,10.814902936246147,7.0,1
"Appomattox County, VA",51011,18.0,114717,62853.0,16610.0,14.0,5.1,1.0,108.36845273931367,6.020469596628537,2.0,0
"Aransas County, TX",48007,47.0,171539,69466.0,24876.0,14.2,4.1,,188.93712815565203,,2.0,0
"Arapahoe County, CO",08005,1089.0,4598944,101087.0,659844.0,8.6,5.0,23.0,165.03900922036118,3.4856723710452773,1.0,0
"Archuleta County, CO",08007,18.0,98084,83065.0,13900.0,8.2,1.3,1.0,129.49640287769785,7.194244604316546,7.0,1
"Arenac County, MI",26011,19.0,105173,58811.0,15077.0,11.7,6.0,2.0,126.01976520527957,13.265238442661007,8.0,1
"Arkansas County, AR",05001,14.0,118229,53164.0,16515.0,19.0,8.1,1.0,84.77141992128368,6.055101422948835,6.0,1
"Arlington County, VA",51013,171.0,1655416,142114.0,236254.0,7.4,3.3,4.0,72.37972690409475,1.6930930269963684,1.0,0
"Armstrong County, PA",42005,177.0,451753,65008.0,64622.0,11.8,4.3,,273.90052923153104,,1.0,0
"Aroostook County, ME",23003,211.0,469211,56700.0,67058.0,14.4,5.3,,314.6529869665066,,7.0,1
"Ascension Parish, LA",22005,388.0,903934,91549.0,130314.0,10.3,4.4,2.0,297.7423761069417,1.5347545160151634,2.0,0
"Ashe County, NC",37009,39.0,189628,56866.0,26950.0,13.5,4.8,1.0,144.71243042671614,3.7105751391465676,9.0,1
"Ashland County, OH",39005,81.0,369698,69860.0,52256.0,13.3,3.6,4.0,155.00612369871402,7.654623392529087,6.0,1
"Ashland County, WI",55003,52.0,110998,62462.0,16080.0,13.4,3.8,3.0,323.3830845771144,18.65671641791045,7.0,1
"Ashley County, AR",05003,33.0,132316,44266.0,18429.0,22.1,5.5,2.0,179.06560312550872,10.852460795485376,7.0,1
