county_name,median_income,population,state,county,fips
"Autauga County, Alabama",72481,59947,01,001,01001
"Baldwin County, Alabama",78775,246989,01,003,01003
"Barbour County, Alabama",46042,24643,01,005,01005
"Bibb County, Alabama",52541,22130,01,007,01007
"Blount County, Alabama",64190,59518,01,009,01009
"Bullock County, Alabama",31310,10058,01,011,01011
"Butler County, Alabama",44755,18630,01,013,01013
"Calhoun County, Alabama",55029,116090,01,015,01015
"Chambers County, Alabama",49656,34192,01,017,01017
"Cherokee County, Alabama",53863,25443,01,019,01019
"Chilton County, Alabama",65603,45992,01,021,01021
"Choctaw County, Alabama",47813,12380,01,023,01023
"Clarke County, Alabama",49249,22543,01,025,01025
"Clay County, Alabama",55250,14192,01,027,01027
"Cleburne County, Alabama",55345,15426,01,029,01029
"Coffee County, Alabama",68353,54920,01,031,01031
"Colbert County, Alabama",60628,58022,01,033,01033
"Conecuh County, Alabama",41327,11275,01,035,01035
"Coosa County, Alabama",57355,10300,01,037,01037
"Covington County, Alabama",52456,37628,01,039,01039
"Crenshaw County, Alabama",48560,13122,01,041,01041
"Cullman County, Alabama",62656,90566,01,043,01043
"Dale County, Alabama",54963,49599,01,045,01045
"Dallas County, Alabama",35627,36858,01,047,01047
"DeKalb County, Alabama",51204,72269,01,049,01049
"Elmore County, Alabama",78243,89526,01,051,01051
"Escambia County, Alabama",48225,36629,01,053,01053
"Etowah County, Alabama",54563,103105,01,055,01055
"Fayette County, Alabama",49488,16053,01,057,01057
"Franklin County, Alabama",53338,31966,01,059,01059
"Geneva County, Alabama",52771,26887,01,061,01061
"Greene County, Alabama",29200,7424,01,063,01063
"Hale County, Alabama",39250,14829,01,065,01065
"Henry County, Alabama",59931,17647,01,067,01067
"Houston County, Alabama",58626,108140,01,069,01069
"Jackson County, Alabama",51908,53053,01,071,01071
"Jefferson County, Alabama",66388,667755,01,073,01073
"Lamar County, Alabama",50000,13693,01,075,01075
"Lauderdale County, Alabama",62649,95830,01,077,01077
"Lawrence County, Alabama",66071,33276,01,079,01079
"Lee County, Alabama",65824,181134,01,081,01081
"Limestone County, Alabama",83629,111233,01,083,01083
"Lowndes County, Alabama",37052,9833,01,085,01085
"Macon County, Alabama",43707,18691,01,087,01087
"Madison County, Alabama",86499,405718,01,089,01089
"Marengo County, Alabama",43825,18851,01,091,01091
"Marion County, Alabama",50088,29184,01,093,01093
"Marshall County, Alabama",62571,99748,01,095,01095
"Mobile County, Alabama",58880,412590,01,097,01097
"Monroe County, Alabama",42292,19388,01,099,01099
"Montgomery County, Alabama",59386,226718,01,101,01101
"Morgan County, Alabama",68845,124471,01,103,01103
"Perry County, Alabama",37654,8031,01,105,01105
"Pickens County, Alabama",46274,18721,01,107,01107
"Pike County, Alabama",48677,32987,01,109,01109
"Randolph County, Alabama",52338,22510,01,111,01111
"Russell County, Alabama",51197,58811,01,113,01113
"St. Clair County, Alabama",77463,94166,01,115,01115
"Shelby County, Alabama",97961,230211,01,117,01117
"Sumter County, Alabama",33310,11878,01,119,01119
"Talladega County, Alabama",57776,81021,01,121,01121
"Tallapoosa County, Alabama",59356,40938,01,123,01123
"Tuscaloosa County, Alabama",66231,237552,01,125,01125
"Walker County, Alabama",56509,64841,01,127,01127
"Washington County, Alabama",61042,15143,01,129,01129
"Wilcox County, Alabama",40640,10172,01,131,01131
"Winston County, Alabama",57256,23682,01,133,01133
"Aleutians East Borough, Alaska",65365,3491,02,013,02013
"Aleutians West Census Area, Alaska",135500,5235,02,016,02016
"Anchorage Municipality, Alaska",103284,288976,02,020,02020
"Bethel Census Area, Alaska",73996,18394,02,050,02050
"Bristol Bay Borough, Alaska",95625,918,02,060,02060
"Chugach Census Area, Alaska",90509,6862,02,063,02063
"Copper River Census Area, Alaska",79250,2626,02,066,02066
"Denali Borough, Alaska",80781,1969,02,068,02068
"Dillingham Census Area, Alaska",78533,4724,02,070,02070
"Fairbanks North Star Borough, Alaska",88267,95460,02,090,02090
"Haines Borough, Alaska",86927,2086,02,100,02100
"Hoonah-Angoon Census Area, Alaska",61406,2311,02,105,02105
"Juneau City and Borough, Alaska",101661,31794,02,110,02110
"Kenai Peninsula Borough, Alaska",80538,60413,02,122,02122
"Ketchikan Gateway Borough, Alaska",92885,13768,02,130,02130
"Kodiak Island Borough, Alaska",86250,12771,02,150,02150
"Kusilvak Census Area, Alaska",51471,8176,02,158,02158
"Lake and Peninsula Borough, Alaska",65625,1013,02,164,02164
"Matanuska-Susitna Borough, Alaska",94031,112988,02,170,02170
"Nome Census Area, Alaska",78681,9866,02,180,02180
"North Slope Borough, Alaska",95694,10810,02,185,02185
"Northwest Arctic Borough, Alaska",84018,7441,02,188,02188
"Petersburg Borough, Alaska",75125,3409,02,195,02195
"Prince of Wales-Hyder Census Area, Alaska",61156,5715,02,198,02198
"Sitka City and Borough, Alaska",101727,8368,02,220,02220
"Skagway Municipality, Alaska",81136,1244,02,230,02230
"Southeast Fairbanks Census Area, Alaska",73882,7068,02,240,02240
"Wrangell City and Borough, Alaska",63750,2088,02,275,02275
"Yakutat City and Borough, Alaska",85000,527,02,282,02282
"Yukon-Koyukuk Census Area, Alaska",55741,5195,02,290,02290
"Apache County, Arizona",41438,65341,04,001,04001
"Cochise County, Arizona",59742,125566,04,003,04003
"Coconino County, Arizona",72966,144508,04,005,04005
"Gila County, Arizona",61986,53795,04,007,04007
"Graham County, Arizona",67325,39232,04,009,04009
"Greenlee County, Arizona",71164,9409,04,011,04011
"La Paz County, Arizona",49478,16664,04,012,04012
"Maricopa County, Arizona",89300,4559748,04,013,04013
"Mohave County, Arizona",57684,220517,04,015,04015
"Navajo County, Arizona",54606,108415,04,017,04017
"Pima County, Arizona",70315,1060490,04,019,04019
"Pinal County, Arizona",80266,469006,04,021,04021
"Santa Cruz County, Arizona",55217,48926,04,023,04023
"Yavapai County, Arizona",69613,245480,04,025,04025
"Yuma County, Arizona",62876,211741,04,027,04027
"Arkansas County, Arkansas",53164,16515,05,001,05001
"Ashley County, Arkansas",44266,18429,05,003,05003
"Baxter County, Arkansas",48452,42407,05,005,05005
"Benton County, Arkansas",93506,303632,05,007,05007
"Boone County, Arkansas",55143,38138,05,009,05009
"Bradley County, Arkansas",41476,10208,05,011,05011
"Calhoun County, Arkansas",66809,4704,05,013,05013
"Carroll County, Arkansas",54230,28626,05,015,05015
"Chicot County, Arkansas",39045,9765,05,017,05017
"Clark County, Arkansas",52034,21125,05,019,05019
"Clay County, Arkansas",51481,14280,05,021,05021
"Cleburne County, Arkansas",55798,25226,05,023,05023
"Cleveland County, Arkansas",54794,7453,05,025,05025
"Columbia County, Arkansas",55334,22349,05,027,05027
"Conway County, Arkansas",54187,21054,05,029,05029
"Craighead County, Arkansas",59548,113249,05,031,05031
"Crawford County, Arkansas",64132,61139,05,033,05033
"Crittenden County, Arkansas",55358,47266,05,035,05035
"Cross County, Arkansas",50863,16543,05,037,05037
"Dallas County, Arkansas",42500,6242,05,039,05039
"Desha County, Arkansas",37662,10786,05,041,05041
"Drew County, Arkansas",42824,17046,05,043,05043
"Faulkner County, Arkansas",67289,127717,05,045,05045
"Franklin County, Arkansas",55886,17326,05,047,05047
"Fulton County, Arkansas",42241,12302,05,049,05049
"Garland County, Arkansas",57181,100035,05,051,05051
"Grant County, Arkansas",71549,18242,05,053,05053
"Greene County, Arkansas",57839,46432,05,055,05055
"Hempstead County, Arkansas",46787,19508,05,057,05057
"Hot Spring County, Arkansas",55405,33180,05,059,05059
"Howard County, Arkansas",45603,12583,05,061,05061
"Independence County, Arkansas",56609,38175,05,063,05063
"Izard County, Arkansas",49405,14009,05,065,05065
"Jackson County, Arkansas",44218,16712,05,067,05067
"Jefferson County, Arkansas",51096,64802,05,069,05069
"Johnson County, Arkansas",45995,26003,05,071,05071
"Lafayette County, Arkansas",41278,6136,05,073,05073
"Lawrence County, Arkansas",44882,16238,05,075,05075
"Lee County, Arkansas",34375,8359,05,077,05077
"Lincoln County, Arkansas",51778,12950,05,079,05079
"Little River County, Arkansas",53344,11821,05,081,05081
"Logan County, Arkansas",58555,21277,05,083,05083
"Lonoke County, Arkansas",72828,75272,05,085,05085
"Madison County, Arkansas",56798,17329,05,087,05087
"Marion County, Arkansas",48619,17228,05,089,05089
"Miller County, Arkansas",48836,42360,05,091,05091
"Mississippi County, Arkansas",52548,39126,05,093,05093
"Monroe County, Arkansas",43214,6589,05,095,05095
"Montgomery County, Arkansas",48906,8553,05,097,05097
"Nevada County, Arkansas",53886,8159,05,099,05099
"Newton County, Arkansas",48986,7112,05,101,05101
"Ouachita County, Arkansas",49268,22085,05,103,05103
"Perry County, Arkansas",55764,10101,05,105,05105
"Phillips County, Arkansas",40134,15450,05,107,05107
"Pike County, Arkansas",49269,10115,05,109,05109
"Poinsett County, Arkansas",46707,22543,05,111,05111
"Polk County, Arkansas",49191,19361,05,113,05113
"Pope County, Arkansas",57344,64131,05,115,05115
"Prairie County, Arkansas",51646,8064,05,117,05117
"Pulaski County, Arkansas",62873,399818,05,119,05119
"Randolph County, Arkansas",50911,18838,05,121,05121
"St. Francis County, Arkansas",42574,22400,05,123,05123
"Saline County, Arkansas",79046,127479,05,125,05125
"Scott County, Arkansas",43270,9816,05,127,05127
"Searcy County, Arkansas",44426,7859,05,129,05129
"Sebastian County, Arkansas",57790,128900,05,131,05131
"Sevier County, Arkansas",53527,15712,05,133,05133
"Sharp County, Arkansas",44637,17773,05,135,05135
"Stone County, Arkansas",40943,12568,05,137,05137
