"Notes","County","County Code","Sex","Sex Code","Year","Year Code","Cause of death","Cause of death Code","Place of Death","Place of Death Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Baldwin County, AL","01003","Male","M","2023","2023","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42","Decedent's home","4",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Baldwin County, AL","01003","Male","M","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Decedent's home","4",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Bullock County, AL","01011","Male","M","2023","2023","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42","Other","7",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Calhoun County, AL","01015","Male","M","2023","2023","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42","Decedent's home","4",18,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Calhoun County, AL","01015","Male","M","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Decedent's home","4",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jefferson County, AL","01073","Female","F","2023","2023","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42","Decedent's home","4",32,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jefferson County, AL","01073","Female","F","2023","2023","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42","Other","7",15,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jefferson County, AL","01073","Female","F","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Decedent's home","4",18,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jefferson County, AL","01073","Female","F","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Other","7",19,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jefferson County, AL","01073","Male","M","2023","2023","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41","Decedent's home","4",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jefferson County, AL","01073","Male","M","2023","2023","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42","Medical Facility - Inpatient","1",19,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jefferson County, AL","01073","Male","M","2023","2023","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42","Medical Facility - Outpatient or ER","2",16,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jefferson County, AL","01073","Male","M","2023","2023","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42","Decedent's home","4",77,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jefferson County, AL","01073","Male","M","2023","2023","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42","Other","7",59,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jefferson County, AL","01073","Male","M","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Medical Facility - Outpatient or ER","2",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jefferson County, AL","01073","Male","M","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Decedent's home","4",57,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jefferson County, AL","01073","Male","M","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Other","7",31,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Madison County, AL","01089","Female","F","2023","2023","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42","Decedent's home","4",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Madison County, AL","01089","Male","M","2023","2023","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42","Decedent's home","4",29,Not Applicable,Not Applicable,Not Applicable,Not Applicable
