"Notes","County","County Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Autauga County, AL","01001",50,408275,12.2,9.1,16.1
,"Baldwin County, AL","01003",427,1671387,25.5,23.1,28.0
,"Barbour County, AL","01005",33,172769,19.1,13.1,26.8
,"Bibb County, AL","01007",49,155538,31.5,23.3,41.6
,"Blount County, AL","01009",106,412077,25.7,20.8,30.6
,"Bullock County, AL","01011",26,70535,36.9,24.1,54.0
,"Butler County, AL","01013",23,132804,17.3,11.0,26.0
,"Calhoun County, AL","01015",262,805967,32.5,28.6,36.4
,"Chambers County, AL","01017",40,236255,16.9,12.1,23.1
,"Cherokee County, AL","01019",51,180624,28.2,21.0,37.1
,"Chilton County, AL","01021",79,317829,24.9,19.7,31.0
,"Clarke County, AL","01025",27,160587,16.8,11.1,24.5
,"Clay County, AL","01027",16,96360,16.6,9.5,27.0
,"Coffee County, AL","01031",48,378461,12.7,9.4,16.8
,"Colbert County, AL","01033",99,398067,24.9,20.2,30.3
,"Conecuh County, AL","01035",25,81012,30.9,20.0,45.6
,"Coosa County, AL","01037",10,73203,13.7,6.6,25.1
,"Covington County, AL","01039",54,261791,20.6,15.5,26.9
,"Cullman County, AL","01043",184,616506,29.8,25.5,34.2
,"Dale County, AL","01045",54,345911,15.6,11.7,20.4
,"Dallas County, AL","01047",48,257700,18.6,13.7,24.7
,"DeKalb County, AL","01049",147,504058,29.2,24.4,33.9
,"Elmore County, AL","01051",86,605604,14.2,11.4,17.5
,"Escambia County, AL","01053",129,256215,50.3,41.7,59.0
,"Etowah County, AL","01055",257,719838,35.7,31.3,40.1
,"Fayette County, AL","01057",38,113072,33.6,23.8,46.1
,"Franklin County, AL","01059",55,221853,24.8,18.7,32.3
,"Geneva County, AL","01061",39,186727,20.9,14.9,28.6
,"Henry County, AL","01067",13,122791,10.6,5.6,18.1
,"Houston County, AL","01069",122,750549,16.3,13.4,19.1
,"Jackson County, AL","01071",54,367855,14.7,11.0,19.2
,"Jefferson County, AL","01073",2485,4634083,53.6,51.5,55.7
,"Lamar County, AL","01075",13,96011,13.5,7.2,23.2
,"Lauderdale County, AL","01077",133,662721,20.1,16.7,23.5
,"Lawrence County, AL","01079",30,232111,12.9,8.7,18.5
,"Lee County, AL","01081",152,1224367,12.4,10.4,14.4
,"Limestone County, AL","01083",71,749330,9.5,7.4,12.0
,"Macon County, AL","01087",14,128342,10.9,6.0,18.3
,"Madison County, AL","01089",702,2753612,25.5,23.6,27.4
,"Marengo County, AL","01091",15,131599,11.4,6.4,18.8
,"Marion County, AL","01093",20,206144,9.7,5.9,15.0
,"Marshall County, AL","01095",183,690436,26.5,22.7,30.3
,"Mobile County, AL","01097",723,2888146,25.0,23.2,26.9
,"Monroe County, AL","01099",31,139597,22.2,15.1,31.5
,"Montgomery County, AL","01101",227,1581557,14.4,12.5,16.2
,"Morgan County, AL","01103",215,857747,25.1,21.7,28.4
,"Pickens County, AL","01107",26,134355,19.4,12.6,28.4
,"Pike County, AL","01109",23,231684,9.9,6.3,14.9
,"Randolph County, AL","01111",26,158688,16.4,10.7,24.0
,"Russell County, AL","01113",127,408837,31.1,25.7,36.5
,"St. Clair County, AL","01115",249,648100,38.4,33.6,43.2
,"Shelby County, AL","01117",355,1580823,22.5,20.1,24.8
,"Talladega County, AL","01121",101,564526,17.9,14.4,21.4
,"Tallapoosa County, AL","01123",44,284373,15.5,11.2,20.8
,"Tuscaloosa County, AL","01125",301,1571396,19.2,17.0,21.3
,"Walker County, AL","01127",239,449520,53.2,46.4,59.9
,"Washington County, AL","01129",15,108989,13.8,7.7,22.7
,"Winston County, AL","01133",50,165684,30.2,22.4,39.8
,"Anchorage Borough, AK","02020",893,2017574,44.3,41.4,47.2
,"Bethel Census Area, AK","02050",37,128314,28.8,20.3,39.7
,"Dillingham Census Area, AK","02070",18,33493,53.7,31.9,84.9
,"Fairbanks North Star Borough, AK","02090",128,672211,19.0,15.7,22.3
,"Juneau Borough, AK","02110",78,222721,35.0,27.7,43.7
,"Kenai Peninsula Borough, AK","02122",121,419594,28.8,23.7,34.0
,"Ketchikan Gateway Borough, AK","02130",32,96476,33.2,22.7,46.8
,"Kodiak Island Borough, AK","02150",18,90061,20.0,11.8,31.6
,"Matanuska-Susitna Borough, AK","02170",238,783003,30.4,26.5,34.3
,"Nome Census Area, AK","02180",12,69220,17.3,9.0,30.3
,"North Slope Borough, AK","02185",19,72041,26.4,15.9,41.2
,"Northwest Arctic Borough, AK","02188",11,52414,21.0,10.5,37.6
